date,close,turnover
2014-01-01,6301.65,2015.36
2014-01-02,6221.15,5249.79
2014-01-03,6211.15,5369.42
2014-01-06,6191.45,4722.67
2014-01-07,6162.25,5696.6
2014-01-08,6174.6,5816.54
2014-01-09,6168.35,5908.02
2014-01-10,6171.45,7347.29
2014-01-13,6272.75,5984.02
2014-01-14,6241.85,4703.01
2014-01-15,6320.9,6422.97
2014-01-16,6318.9,6758.63
2014-01-17,6261.65,7895.92
2014-01-20,6303.95,5499.51
2014-01-21,6313.8,5831.26
2014-01-22,6338.95,5635.92
2014-01-23,6345.65,5278.88
2014-01-24,6266.75,6209.06
2014-01-27,6135.85,7091.1
2014-01-28,6126.25,7710.08
2014-01-29,6120.25,6487.39
2014-01-30,6073.7,7694.04
2014-01-31,6089.5,5407.1
2014-02-03,6001.8,4635.69
2014-02-04,6000.9,6075.02
2014-02-05,6022.4,5572.13
2014-02-06,6036.3,6291.97
2014-02-07,6063.2,5591.39
2014-02-10,6053.45,4762.89
2014-02-11,6062.7,5268.8
2014-02-12,6084.0,5351.08
2014-02-13,6001.1,5037.18
2014-02-14,6048.35,5539.7
2014-02-17,6073.3,4455.65
2014-02-18,6127.1,4592.38
2014-02-19,6152.75,3735.52
2014-02-20,6091.45,4344.77
2014-02-21,6155.45,4001.93
2014-02-24,6186.1,4424.81
2014-02-25,6200.05,4782.95
2014-02-26,6238.8,6641.33
2014-02-28,6276.95,7869.42
2014-03-03,6221.45,5040.12
2014-03-04,6297.95,5550.29
2014-03-05,6328.65,5754.58
2014-03-06,6401.15,5844.96
2014-03-07,6526.65,11368.15
2014-03-10,6537.25,9992.74
2014-03-11,6511.9,8268.67
2014-03-12,6516.9,6176.54
2014-03-13,6493.1,8356.1
2014-03-14,6504.2,7114.55
2014-03-18,6516.65,7268.52
2014-03-19,6524.05,7666.24
2014-03-20,6483.1,6280.76
2014-03-21,6493.2,8841.94
2014-03-22,6494.9,373.66
2014-03-24,6583.5,6633.77
2014-03-25,6589.75,6475.61
2014-03-26,6601.4,7046.34
2014-03-27,6641.75,12924.37
2014-03-28,6695.9,6862.55
2014-03-31,6704.2,7743.3
2014-04-01,6721.05,7174.14
2014-04-02,6752.55,8007.75
2014-04-03,6736.1,7738.58
2014-04-04,6694.35,6676.88
2014-04-07,6695.05,6707.01
2014-04-09,6796.2,8892.66
2014-04-10,6796.4,9079.6
2014-04-11,6776.3,7463.19
2014-04-15,6733.1,7100.26
2014-04-16,6675.3,6168.64
2014-04-17,6779.4,6952.58
2014-04-21,6817.65,5711.98
2014-04-22,6815.35,5636.78
2014-04-23,6840.8,9247.25
2014-04-25,6782.75,8021.33
2014-04-28,6761.25,6297.18
2014-04-29,6715.25,5459.34
2014-04-30,6696.4,7066.78
2014-05-02,6694.8,5030.42
2014-05-05,6699.35,4881.32
2014-05-06,6715.3,4168.72
2014-05-07,6652.55,6513.29
2014-05-08,6659.85,5413.39
2014-05-09,6858.8,8027.14
2014-05-12,7014.25,8475.17
2014-05-13,7108.75,10573.11
2014-05-14,7108.75,9395.8
2014-05-15,7123.15,8947.95
2014-05-16,7203.0,21057.07
2014-05-19,7263.55,15228.6
2014-05-20,7275.5,11139.51
2014-05-21,7252.9,9544.12
2014-05-22,7276.4,10104.55
2014-05-23,7367.1,12002.13
2014-05-26,7359.05,13203.73
2014-05-27,7318.0,7931.22
2014-05-28,7329.65,8929.71
2014-05-29,7235.65,13385.17
2014-05-30,7229.95,13837.29
2014-06-02,7362.5,7833.43
2014-06-03,7415.85,10354.94
2014-06-04,7402.25,8913.89
2014-06-05,7474.1,11574.51
2014-06-06,7583.4,12322.96
2014-06-09,7654.6,10866.56
2014-06-10,7656.4,9475.21
2014-06-11,7626.85,10472.71
2014-06-12,7649.9,8187.49
2014-06-13,7542.1,11254.75
2014-06-16,7533.55,8449.27
2014-06-17,7631.7,8704.2
2014-06-18,7558.2,8963.97
2014-06-19,7540.7,8115.36
2014-06-20,7511.45,6801.49
2014-06-23,7493.35,6543.64
2014-06-24,7580.2,7146.44
2014-06-25,7569.25,6198.93
2014-06-26,7493.2,9190.64
2014-06-27,7508.8,6688.8
