date,close,turnover,log_returns,abs_returns,vol_7,vol_14,vol_30,volumn_change
2014-02-12,6084.0,5351.08,0.0035071289868710874,0.0035071289868710874,0.002186552134743864,0.00789115106012165,0.00764750961132911,0.015616459155785023
2014-02-13,6001.1,5037.18,-0.013719588639159846,0.013719588639159846,0.006368213343954979,0.008008786713899844,0.007694450852087489,-0.05866105533836152
2014-02-14,6048.35,5539.7,0.007842721815290526,0.007842721815290526,0.00694504257000654,0.006615915988147418,0.00786867713668592,0.09976216851492303
2014-02-17,6073.3,4455.65,0.004116607101259631,0.004116607101259631,0.0070514732689091865,0.006753132414442832,0.007908010501953795,-0.1956874921024605
2014-02-18,6127.1,4592.38,0.008819440137131852,0.008819440137131852,0.0075936835880029245,0.007205648613808456,0.008052158553800431,0.030686880702030184
2014-02-19,6152.75,3735.52,0.00417758153463435,0.00417758153463435,0.007513633773492227,0.006918663146564253,0.008082326388732118,-0.18658299182558935
2014-02-20,6091.45,4344.77,-0.010012987726474961,0.010012987726474961,0.00886264719075546,0.007481924926885313,0.008281269077587184,0.16309643637298166
2014-02-21,6155.45,4001.93,0.010451719635821382,0.010451719635821382,0.009591150875891616,0.006684611924678977,0.008515322028796658,-0.0789086649005587
2014-02-24,6186.1,4424.81,0.0049669714117469115,0.0049669714117469115,0.006784358836422345,0.006709306139101837,0.008000397050406791,0.10566901470040713
2014-02-25,6200.05,4782.95,0.0022525168673606616,0.0022525168673606616,0.006630242196401969,0.006697294763850555,0.007969373494771673,0.08093906857017585
2014-02-26,6238.8,6641.33,0.006230499660876425,0.006230499660876425,0.006708620598938881,0.006789139623981271,0.007696979181099615,0.38854263582098914
2014-02-28,6276.95,7869.42,0.006096337519478733,0.006096337519478733,0.0064456046677727405,0.006842312161937211,0.0077889064303475935,0.18491627430047908
2014-03-03,6221.45,5040.12,-0.00888119516086819,0.00888119516086819,0.007921378342195574,0.0074272082679022085,0.007780348605411156,-0.3595309438306762
2014-03-04,6297.95,5550.29,0.01222118506491175,0.01222118506491175,0.006885075525862934,0.00791376375360318,0.008010470878850755,0.10122179630643724
2014-03-05,6328.65,5754.58,0.0048627596495382595,0.0048627596495382595,0.006424003461437405,0.007932417713163642,0.008055661375461948,0.03680708575587932
2014-03-06,6401.15,5844.96,0.01139071845516691,0.01139071845516691,0.007022110471765789,0.006639408246415878,0.008289725568668294,0.015705750897546
2014-03-07,6526.65,11368.15,0.01941613308108391,0.01941613308108391,0.008737930593230789,0.007707512742318371,0.00899338760641401,0.9449491527743559
2014-03-10,6537.25,9992.74,0.0016227929372118323,0.0016227929372118323,0.009004385125832187,0.007768931421024412,0.008627303491559072,-0.12098802355704308
2014-03-11,6511.9,8268.67,-0.003885315425082567,0.003885315425082567,0.009861004177755721,0.008057597209673558,0.007587563439470523,-0.17253225841961262
2014-03-12,6516.9,6176.54,0.0007675304318831538,0.0007675304318831538,0.00806790586180785,0.008114573010288941,0.007561849553341124,-0.25301892565551654
